Position Bucket,Display Rank,Player,Team,Bye Week,Floor,Points,Ceiling,SD,Uncertainty,VOR,Drop Off,Tier,Age,ADP,AAV,Rank - Overall,Rank - Position,ECR,Injury Status,Points Spread,Experience
DL,61,David Bailey,NYJ,13,42.3,50.6,64.9,13.4,90,-15.8,0.436,2,22,,,265,40,105,,22.6,0
DL,62,Teair Tart,LAC,7,40.8,50.2,58.7,13,28,-16.2,0.123,2,29,,,269,41,,,17.9,6
DL,63,Quinnen Williams,DAL,14,32.8,50,71,20.3,67,-16.3,0.0601,2,28,,,271,42,42.1,,38.2,7
DL,64,Jaelan Phillips,CAR,5,43,50,62,11.3,8,-16.4,0.345,2,27,,5.57,272,43,22.1,,19,5
DL,65,Jaelan Phillips,CAR,5,43,50,62,11.3,31,-16.4,0.345,2,27,,5.57,272,43,65.8,,19,5
DL,66,Boye Mafe,CIN,6,40.7,49.6,61.9,11.6,40,-16.7,0.321,2,27,,2.74,276,44,77.9,,21.2,4
DL,67,Boye Mafe,CIN,6,40.7,49.6,61.9,11.6,71,-16.7,0.321,2,27,,2.74,276,44,108,,21.2,4
DL,68,Jonah Laulu,LVR,13,36.9,49.3,60.6,17.3,78,-17.1,0.377,2,26,,,279,45,,,23.7,2
DL,69,Donovan Ezeiruaku,DAL,14,41.1,48.9,62.6,12.8,49,-17.4,0.201,2,23,,,284,46,68.8,,21.5,1
DL,70,Donovan Ezeiruaku,DAL,14,41.1,48.9,62.6,12.8,62,-17.4,0.201,2,23,,,284,46,119,,21.5,1
DL,71,Jalen Carter,PHI,10,38.1,48.7,67.2,17.2,55,-17.6,0.152,2,25,,,287,47,48.8,,29.1,3
DL,72,Patrick Jones,CAR,5,40.8,48.6,55.6,10.7,98,-17.8,0.102,2,27,,,288,48,144,,14.8,5
DL,73,Jayson Oweh,WAS,7,39.1,48.5,63.4,14,35,-17.9,0.202,3,27,,2.64,292,49,43.9,,24.3,5
DL,74,Jayson Oweh,WAS,7,39.1,48.5,63.4,14,75,-17.9,0.202,3,27,,2.64,292,49,98,,24.3,5
DL,75,Chop Robinson,MIA,6,37.4,48.3,62,13.2,45,-18.1,0.413,3,23,,,296,50,52.8,,24.6,2
DL,76,Chop Robinson,MIA,6,37.4,48.3,62,13.2,69,-18.1,0.413,3,23,,,296,50,102,,24.6,2
DL,77,Jermaine Johnson,TEN,9,37.2,47.9,61.8,13.4,18,-18.5,0.112,3,27,,5.26,297,51,42,,24.6,4
DL,78,Micah Parsons,GB,11,34.3,47.8,58.1,12.4,13,-18.6,0.119,3,27,146,11.2,299,52,29.1,O,23.8,5
DL,79,Micah Parsons,GB,11,34.3,47.8,58.1,12.4,88,-18.6,0.119,3,27,146,11.2,299,52,80.7,O,23.8,5
DL,80,Malcolm Roach,DEN,10,28.7,47.6,64.9,26.3,99,-18.7,0.12,3,28,,,301,53,,,36.2,6
DL,81,Alex Wright,CLE,11,33.5,47.5,60.5,14.1,37,-18.9,0.0217,3,25,,4.61,303,54,49.4,,27,4
DL,82,Jalyx Hunt,PHI,10,40.3,47.5,57,9.04,7,-18.9,0.128,3,25,,,305,55,67.9,,16.7,2
DL,83,Jalyx Hunt,PHI,10,40.3,47.5,57,9.04,58,-18.9,0.128,3,25,,,305,55,113,,16.7,2
DL,84,Austin Booker,CHI,10,36.1,47.4,65.7,17.1,60,-19,0.0794,3,23,,,306,56,48.8,,29.6,2
DL,85,Austin Booker,CHI,10,36.1,47.4,65.7,17.1,72,-19,0.0794,3,23,,,306,56,78.5,,29.6,2
DL,86,Bradley Chubb,BUF,7,37.2,47.3,60.6,12.7,16,-19.1,0.224,3,30,,8.83,307,57,31.5,,23.4,8
DL,87,Bradley Chubb,BUF,7,37.2,47.3,60.6,12.7,53,-19.1,0.224,3,30,,8.83,307,57,80.6,,23.4,8
DL,88,Abdul Carter,NYG,8,38.8,47.1,59.9,12.1,11,-19.3,0.272,3,22,173,,308,58,18.8,Q,21.1,1
DL,89,Abdul Carter,NYG,8,38.8,47.1,59.9,12.1,47,-19.3,0.272,3,22,173,,308,58,60,Q,21.1,1
DL,90,Will McDonald,NYJ,13,40.2,46.8,54.1,7.3,94,-19.6,0.231,3,27,,,311,59,87.4,,13.9,3
DL,91,Kobie Turner,LAR,11,38.8,46.6,58.7,11.4,12,-19.8,0.482,3,27,,,312,60,52.8,Q,19.9,3
LB,1,Jordyn Brooks,MIA,6,101,133,191,54.1,70,22.5,7.53,1,28,71,15.3,60,1,1.31,,90,6
LB,2,Blake Cashman,MIN,6,87.3,126,193,62.8,95,14.9,6.1,1,30,125,8.81,77,2,8.31,,105.7,7
LB,3,Jack Campbell,DET,6,91.6,119,167,44.8,43,8.85,1.99,1,25,,,90,3,2.38,,75.4,3
LB,4,Nick Bolton,KC,5,87.9,117,169,47.9,64,6.86,1.82,1,26,102,,96,4,12.5,,81.1,5
LB,5,Ernest Jones,SEA,11,89.1,116,157,39.2,21,5.04,1.32,1,26,99,7.66,102,5,6.54,,67.9,5
LB,6,Roquan Smith,BAL,13,91,114,154,36.7,8,3.72,1.14,1,29,104,23,108,6,3.62,,63,8
LB,7,Foyesade Oluokun,JAC,7,88.2,113,157,41.2,28,2.58,0.227,1,31,118,17.8,113,7,6.77,,68.8,8
LB,8,Cedric Gray,TEN,9,82.2,113,168,51.2,92,2.35,0.687,1,23,76.8,12,114,8,15.5,,85.8,2
LB,9,Carson Schwesinger,CLE,11,70.8,112,166,51.7,66,1.66,1.66,1,23,66,,120,9,3.08,,95.2,1
LB,10,Jamien Sherwood,NYJ,13,84.2,111,156,42.5,39,0,0.345,1,26,114,8.42,130,10,10.7,,71.8,5
LB,11,Tremaine Edmunds,NYG,8,85.3,110,149,36.1,25,-0.345,0.879,1,28,147,11.6,133,11,19.4,,63.7,8
LB,12,Fred Warner,SF,8,71.1,109,161,48.7,52,-1.22,2.64,1,29,107,21.7,143,12,7.69,,89.9,8
LB,13,Quay Walker,LVR,13,69,107,154,45.7,48,-3.87,2.01,1,26,132,14.9,161,13,12.5,,85,4
LB,14,Alex Singleton,DEN,10,71.4,105,153,45.8,57,-5.88,5.73,1,32,,11.1,173,14,18,,81.6,11
LB,15,Nate Landman,LAR,11,73.2,99,143,40.7,41,-11.6,0.371,1,27,122,12.2,217,15,12.7,,69.8,4
LB,16,Barrett Carter,CIN,6,71.7,98.7,146,44.2,54,-12,0.482,1,23,182,,219,16,35,,74.3,1
