scoring,source,season,last_updated,ranking,player,position,position_rank,team,bye,tier,rank_best,rank_worst,rank_average,rank_stddev,adp_rank,player_id,fantasypros_url
ppr,FantasyPros ECR,2026,8/13,118,Jacory Croskey-Merritt,RB,RB40,WAS,7,8,78,143,118.51,12.14,115,27316,https://www.fantasypros.com/nfl/players/jacory-croskeymerritt.php
ppr,FantasyPros ECR,2026,8/13,119,Stefon Diggs,WR,WR48,WAS,7,8,60,227,111.33,39.89,128,13981,https://www.fantasypros.com/nfl/players/stefon-diggs.php
ppr,FantasyPros ECR,2026,8/13,120,Jordan Love,QB,QB19,GB,11,8,92,145,119.40,9.45,140,19246,https://www.fantasypros.com/nfl/players/jordan-love.php
ppr,FantasyPros ECR,2026,8/13,121,Khalil Shakir,WR,WR49,BUF,7,8,83,173,120.29,17.16,132,23748,https://www.fantasypros.com/nfl/players/khalil-shakir.php
ppr,FantasyPros ECR,2026,8/13,122,Jordan Mason,RB,RB41,MIN,6,8,84,146,122.07,13.15,118,22969,https://www.fantasypros.com/nfl/players/jordan-mason.php
ppr,FantasyPros ECR,2026,8/13,123,Tyler Shough,QB,QB20,NO,8,8,104,169,122.09,11.92,142,23096,https://www.fantasypros.com/nfl/players/tyler-shough.php
ppr,FantasyPros ECR,2026,8/13,124,Dallas Goedert,TE,TE14,PHI,10,8,87,190,123.06,18.51,110,17270,https://www.fantasypros.com/nfl/players/dallas-goedert.php
ppr,FantasyPros ECR,2026,8/13,125,Jayden Higgins,WR,WR50,HOU,8,8,96,176,123.17,13.43,136,27077,https://www.fantasypros.com/nfl/players/jayden-higgins.php
ppr,FantasyPros ECR,2026,8/13,126,Jalen Coker,WR,WR51,CAR,5,8,90,161,124.54,13.60,139,26403,https://www.fantasypros.com/nfl/players/jalen-coker.php
ppr,FantasyPros ECR,2026,8/13,127,Xavier Worthy,WR,WR52,KC,5,9,106,180,128.06,13.03,127,23019,https://www.fantasypros.com/nfl/players/xavier-worthy.php
ppr,FantasyPros ECR,2026,8/13,128,Mark Andrews,TE,TE15,BAL,13,9,95,173,128.15,20.55,122,17269,https://www.fantasypros.com/nfl/players/mark-andrews.php
ppr,FantasyPros ECR,2026,8/13,129,Malik Willis,QB,QB21,MIA,6,9,98,179,128.33,15.36,155,23499,https://www.fantasypros.com/nfl/players/malik-willis.php
ppr,FantasyPros ECR,2026,8/13,130,Romeo Doubs,WR,WR53,NE,11,9,96,178,129.96,14.89,126,23794,https://www.fantasypros.com/nfl/players/romeo-doubs.php
ppr,FantasyPros ECR,2026,8/13,131,KC Concepcion,WR,WR54,CLE,11,9,83,255,131.39,29.36,131,27331,https://www.fantasypros.com/nfl/players/kevin-concepcion.php
ppr,FantasyPros ECR,2026,8/13,132,Tyrone Tracy Jr.,RB,RB42,NYG,8,9,117,177,133.80,10.34,137,22980,https://www.fantasypros.com/nfl/players/tyrone-tracy-jr.php
ppr,FantasyPros ECR,2026,8/13,133,Matthew Golden,WR,WR55,GB,11,9,90,195,134.66,18.56,125,26024,https://www.fantasypros.com/nfl/players/matthew-golden.php
ppr,FantasyPros ECR,2026,8/13,134,Tyler Allgeier,RB,RB43,ARI,14,9,102,164,138.56,12.40,149,24172,https://www.fantasypros.com/nfl/players/tyler-allgeier.php
ppr,FantasyPros ECR,2026,8/13,135,Woody Marks,RB,RB44,HOU,8,9,99,164,139.16,12.89,134,27520,https://www.fantasypros.com/nfl/players/woody-marks.php
ppr,FantasyPros ECR,2026,8/13,136,Sam Darnold,QB,QB22,SEA,11,9,119,203,141.54,13.90,184,17236,https://www.fantasypros.com/nfl/players/sam-darnold.php
ppr,FantasyPros ECR,2026,8/13,137,C.J. Stroud,QB,QB23,HOU,8,9,108,214,141.98,17.75,171,23071,https://www.fantasypros.com/nfl/players/cj-stroud.php
ppr,FantasyPros ECR,2026,8/13,138,Chris Rodriguez Jr.,RB,RB45,JAC,7,9,118,237,142.43,17.20,144,22986,https://www.fantasypros.com/nfl/players/chris-rodriguez-jr.php
ppr,FantasyPros ECR,2026,8/13,139,Juwan Johnson,TE,TE16,NO,8,9,106,196,142.79,20.70,147,19562,https://www.fantasypros.com/nfl/players/juwan-johnson.php
ppr,FantasyPros ECR,2026,8/13,140,Zach Charbonnet,RB,RB46,SEA,11,9,80,245,144.61,23.96,129,23152,https://www.fantasypros.com/nfl/players/zach-charbonnet.php
ppr,FantasyPros ECR,2026,8/13,141,Tyjae Spears,RB,RB47,TEN,9,9,116,228,146.94,17.16,151,25323,https://www.fantasypros.com/nfl/players/tyjae-spears.php
ppr,FantasyPros ECR,2026,8/13,142,Rashid Shaheed,WR,WR56,SEA,11,9,121,208,147.32,15.23,143,24687,https://www.fantasypros.com/nfl/players/rashid-shaheed.php
ppr,FantasyPros ECR,2026,8/13,143,Deebo Samuel Sr.,WR,WR57,SF,8,9,83,241,141.49,34.28,130,18244,https://www.fantasypros.com/nfl/players/deebo-samuel.php
ppr,FantasyPros ECR,2026,8/13,144,Alvin Kamara,RB,RB48,NO,8,9,120,215,148.28,16.52,141,16421,https://www.fantasypros.com/nfl/players/alvin-kamara.php
ppr,FantasyPros ECR,2026,8/13,145,Dylan Sampson,RB,RB49,CLE,11,9,103,219,148.94,18.63,190,27102,https://www.fantasypros.com/nfl/players/dylan-sampson.php
ppr,FantasyPros ECR,2026,8/13,146,Isiah Pacheco,RB,RB50,DET,6,9,127,189,152.68,11.70,148,24333,https://www.fantasypros.com/nfl/players/isiah-pacheco.php
ppr,FantasyPros ECR,2026,8/13,147,Cam Ward,QB,QB24,TEN,9,9,127,246,152.73,21.58,180,24755,https://www.fantasypros.com/nfl/players/cam-ward.php
ppr,FantasyPros ECR,2026,8/13,148,Chig Okonkwo,TE,TE17,WAS,7,9,106,229,154.33,27.38,160,23982,https://www.fantasypros.com/nfl/players/chigoziem-okonkwo.php
